Token,POS
!,PUNCT
#,SYM
'',PUNCT
'd,AUX
'll,AUX
're,AUX
've,AUX
",",PUNCT
--,PUNCT
.,PUNCT
.....,PUNCT
0,NUM
"1,000",NUM
1.5,NUM
10,NUM
"10,000",NUM
100,NUM
"100,000",NUM
11,NUM
11th,NOUN
12,NUM
120,NUM
12th,NOUN
13,NUM
14,NUM
15,NUM
150,NUM
16,NUM
16th,PROPN
17,NUM
18,NUM
18th,ADJ
19,NUM
1943,NUM
1945,NUM
1949,NUM
1960s,NOUN
1962,NUM
1964,NUM
1967,NUM
1968,NUM
1969,NUM
1970,NUM
1970s,NOUN
1971,NUM
1972,NUM
1973,NUM
1974,NUM
1978,NUM
1980,NUM
1980s,NOUN
1982,NUM
1983,NUM
1984,PROPN
1986,NUM
1987,NUM
1989,NUM
1990,NUM
1990s,NOUN
1991,NUM
1993,NUM
1995,NUM
1996,NUM
1997,NUM
1998,NUM
1999,NUM
"2,000",NUM
2.5,NUM
"20,000",NUM
200,NUM
"200,000",NUM
2000,NUM
2001,NUM
2002,NUM
2003,NUM
2004,NUM
2005,NUM
2006,NUM
2007,NUM
2008,NUM
2009,NUM
2010,NUM
2012,NUM
21,NUM
23,NUM
25,NUM
250,NUM
26,NUM
27,NUM
28,NUM
29,NUM
"3,000",NUM
30,NUM
300,NUM
31,NUM
32,NUM
33,NUM
34,NUM
35,NUM
36,NUM
37,NUM
39,NUM
40,NUM
400,NUM
41,NUM
42,NUM
43,NUM
44,NUM
45,NUM
46,NUM
47,NUM
48,NUM
49,NUM
5,NUM
"5,000",NUM
50,NUM
"50,000",NUM
51,NUM
52,NUM
53,NUM
54,NUM
55,NUM
56,NUM
57,NUM
59,NUM
6,NUM
60,NUM
600,NUM
61,NUM
62,NUM
63,NUM
65,NUM
66,NUM
67,NUM
68,NUM
69,NUM
7,NUM
70,NUM
72,NUM
75,NUM
80,NUM
800,NUM
85,NUM
9,NUM
90,NUM
95,NUM
:,PUNCT
;,PUNCT
?,PUNCT
[,PUNCT
_,PUNCT
`,PUNCT
a.m.,NOUN
abandoned,VERB
ability,NOUN
able,ADJ
abroad,ADV
absence,NOUN
absolutely,ADV
abuse,NOUN
academic,ADJ
